service_id,date,exception_type
WD,20260101,2
WD,20260308,2
WD,20260317,2
WD,20260318,2
WD,20260319,2
WD,20260401,2
WD,20260417,2
WD,20260418,2
WD,20260419,2
WD,20260501,2
WD,20260506,2
WD,20260516,2
WD,20260601,2
WD,20260617,2
WD,20260618,2
WD,20260619,2
WD,20260901,2
WD,20261006,2
WD,20261225,2
WE,20260101,1
WE,20260308,1
WE,20260317,1
WE,20260318,1
WE,20260319,1
WE,20260401,1
WE,20260417,1
WE,20260418,1
WE,20260419,1
WE,20260501,1
WE,20260506,1
WE,20260516,1
WE,20260601,1
WE,20260617,1
WE,20260618,1
WE,20260619,1
WE,20260901,1
WE,20261006,1
WE,20261225,1
