shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SHP001,33.5105,36.3025,1,0.00
SHP001,33.5140,36.2960,2,0.77
SHP001,33.5100,36.2950,3,1.22
SHP001,33.5130,36.2920,4,1.63
SHP001,33.5130,36.2880,5,2.07
SHP001,33.5030,36.2830,6,3.22
SHP001,33.5020,36.2750,7,4.03
SHP001,33.5180,36.2700,8,5.84
SHP001,33.5170,36.2800,9,6.73
SHP001,33.5050,36.2600,10,8.93
SHP001,33.5030,36.2500,11,9.87
SHP001,33.5010,36.2450,12,10.41
SHP001,33.5000,36.2350,13,11.33
SHP002,33.5060,36.2940,1,0.00
SHP002,33.5140,36.2960,2,0.90
SHP002,33.5155,36.2900,3,1.60
SHP002,33.5160,36.2850,4,2.10
SHP002,33.5210,36.2880,5,2.68
SHP002,33.5180,36.3050,6,4.37
SHP002,33.5200,36.3080,7,4.73
SHP002,33.5175,36.3200,8,5.78
SHP002,33.5160,36.3180,9,5.99
SHP002,33.5220,36.3350,10,7.54
SHP002,33.5250,36.3100,11,9.74
SHP002,33.5450,36.3180,12,12.00
SHP003,33.5130,36.2920,1,0.00
SHP003,33.5130,36.2880,2,0.44
SHP003,33.5155,36.2900,3,0.74
SHP003,33.5130,36.3150,4,3.22
SHP003,33.5110,36.3100,5,3.76
SHP003,33.5120,36.3200,6,4.67
SHP003,33.5115,36.3065,7,5.97
SHP003,33.5200,36.3080,8,6.82
SHP003,33.5175,36.3200,9,7.87
SHP003,33.5220,36.3350,10,9.34
SHP003,33.5350,36.3400,11,10.81
SHP004,33.5110,36.3100,1,0.00
SHP004,33.5130,36.3150,2,0.54
SHP004,33.5120,36.3200,3,1.00
SHP004,33.5115,36.3065,4,2.30
SHP004,33.5200,36.3080,5,3.14
SHP004,33.5175,36.3200,6,4.19
SHP004,33.5220,36.3350,7,5.65
SHP004,33.4850,36.3250,8,8.82
SHP004,33.4900,36.3300,9,9.38
SHP005,33.5105,36.3025,1,0.00
SHP005,33.4950,36.3000,2,1.75
SHP005,33.4970,36.2970,3,2.06
SHP005,33.4900,36.3300,4,5.44
SHP005,33.4850,36.3250,5,6.07
SHP005,33.4700,36.3500,6,8.52
SHP005,33.4500,36.3400,7,10.84
SHP006,33.5210,36.2880,1,0.00
SHP006,33.5180,36.3050,2,1.71
SHP006,33.5250,36.2860,3,2.81
SHP006,33.5170,36.2800,4,3.82
SHP006,33.5180,36.2700,5,4.73
SHP006,33.5030,36.2830,6,6.51
SHP006,33.5020,36.2750,7,7.30
SHP007,33.5175,36.3200,1,0.00
SHP007,33.5220,36.3350,2,1.55
SHP007,33.5350,36.3400,3,2.99
SHP007,33.5450,36.3180,4,5.01
SHP007,33.5250,36.3100,5,7.40
SHP007,33.5500,36.3550,6,9.78
SHP008,33.5010,36.2450,1,0.00
SHP008,33.5030,36.2500,2,0.54
SHP008,33.5050,36.2600,3,1.49
SHP008,33.5180,36.2700,4,3.04
SHP008,33.5170,36.2800,5,3.93
SHP008,33.5150,36.2300,6,9.48
