trip_id,arrival_time,departure_time,stop_id,stop_sequence
R001T001,06:00:00,06:00:00,S001,1
R001T001,06:05:00,06:05:00,S019,2
R001T001,06:10:00,06:10:00,S037,3
R001T001,06:15:00,06:15:00,S003,4
R001T001,06:20:00,06:20:00,S018,5
R001T001,06:25:00,06:25:00,S021,6
R001T001,06:30:00,06:30:00,S007,7
R001T001,06:35:00,06:35:00,S041,8
R001T001,06:40:00,06:40:00,S008,9
R001T001,06:45:00,06:45:00,S005,10
R001T001,06:50:00,06:50:00,S038,11
R001T001,06:55:00,06:55:00,S006,12
R001T001,07:00:00,07:00:00,S022,13
R001T002,10:00:00,10:00:00,S001,1
R001T002,10:05:00,10:05:00,S019,2
R001T002,10:10:00,10:10:00,S037,3
R001T002,10:15:00,10:15:00,S003,4
R001T002,10:20:00,10:20:00,S018,5
R001T002,10:25:00,10:25:00,S021,6
R001T002,10:30:00,10:30:00,S007,7
R001T002,10:35:00,10:35:00,S041,8
R001T002,10:40:00,10:40:00,S008,9
R001T002,10:45:00,10:45:00,S005,10
R001T002,10:50:00,10:50:00,S038,11
R001T002,10:55:00,10:55:00,S006,12
R001T002,11:00:00,11:00:00,S022,13
R001T003,16:00:00,16:00:00,S001,1
R001T003,16:05:00,16:05:00,S019,2
R001T003,16:10:00,16:10:00,S037,3
R001T003,16:15:00,16:15:00,S003,4
R001T003,16:20:00,16:20:00,S018,5
R001T003,16:25:00,16:25:00,S021,6
R001T003,16:30:00,16:30:00,S007,7
R001T003,16:35:00,16:35:00,S041,8
R001T003,16:40:00,16:40:00,S008,9
R001T003,16:45:00,16:45:00,S005,10
R001T003,16:50:00,16:50:00,S038,11
R001T003,16:55:00,16:55:00,S006,12
R001T003,17:00:00,17:00:00,S022,13
R002T001,06:30:00,06:30:00,S004,1
R002T001,06:35:00,06:35:00,S019,2
R002T001,06:40:00,06:40:00,S020,3
R002T001,06:45:00,06:45:00,S009,4
R002T001,06:50:00,06:50:00,S010,5
R002T001,06:55:00,06:55:00,S011,6
R002T001,07:00:00,07:00:00,S012,7
R002T001,07:05:00,07:05:00,S013,8
R002T001,07:10:00,07:10:00,S036,9
R002T001,07:15:00,07:15:00,S014,10
R002T001,07:20:00,07:20:00,S017,11
R002T001,07:25:00,07:25:00,S016,12
R002T002,10:30:00,10:30:00,S004,1
R002T002,10:35:00,10:35:00,S019,2
R002T002,10:40:00,10:40:00,S020,3
R002T002,10:45:00,10:45:00,S009,4
R002T002,10:50:00,10:50:00,S010,5
R002T002,10:55:00,10:55:00,S011,6
R002T002,11:00:00,11:00:00,S012,7
R002T002,11:05:00,11:05:00,S013,8
R002T002,11:10:00,11:10:00,S036,9
R002T002,11:15:00,11:15:00,S014,10
R002T002,11:20:00,11:20:00,S017,11
R002T002,11:25:00,11:25:00,S016,12
R002T003,16:30:00,16:30:00,S004,1
R002T003,16:35:00,16:35:00,S019,2
R002T003,16:40:00,16:40:00,S020,3
R002T003,16:45:00,16:45:00,S009,4
R002T003,16:50:00,16:50:00,S010,5
R002T003,16:55:00,16:55:00,S011,6
R002T003,17:00:00,17:00:00,S012,7
R002T003,17:05:00,17:05:00,S013,8
R002T003,17:10:00,17:10:00,S036,9
R002T003,17:15:00,17:15:00,S014,10
R002T003,17:20:00,17:20:00,S017,11
R002T003,17:25:00,17:25:00,S016,12
R003T001,06:15:00,06:15:00,S003,1
R003T001,06:20:00,06:20:00,S018,2
R003T001,06:25:00,06:25:00,S020,3
R003T001,06:30:00,06:30:00,S033,4
R003T001,06:35:00,06:35:00,S035,5
R003T001,06:40:00,06:40:00,S034,6
R003T001,06:45:00,06:45:00,S002,7
R003T001,06:50:00,06:50:00,S012,8
R003T001,06:55:00,06:55:00,S013,9
